Player,Team,Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,GCA_SCA,GCA_SCA90,GCA_GCA,GCA_GCA90,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Att,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Played Time,Estimated Value
Matz Sels,,33.17,33,33,2970.0,0,0,3,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.18,74.7,39.4,0.0,30.4,0.0,0.08,16.2,441,50.1,16937,100.0,97.7,36.5,1,38,2,0,1,5,0.15,0,0.0,1,1,1,0,0,0,0,0,969,741,955,14,0,0,0,45.1,43.8,469,1436,0,0,0,0,0,375,0,0,10,0,0,9,14,2,87.5,2970.0,10200000.0
Max Kilman,,27.93,34,34,2988.0,0,1,4,0,1.4,1.2,29,106,6,0.0,0.03,0.04,0.04,1.395,68.75,25.45,0.0,18.2,0.06,0.0,8.4,1511,86.9,29227,92.2,92.8,58.4,16,100,4,0,106,28,0.84,3,0.09,30,17,23,4,55,37,18,37,2113,428,1178,848,103,30,20,70.0,10.0,1119,2917,29,12,2,16,2,1404,6,17,12,2,3,135,101,48,67.8,2988.0,39300000.0
Maxence Lacroix,,25.06,31,31,2756.0,1,1,5,0,2.8,0.8,8,59,7,0.03,0.03,0.09,0.02,1.395,68.75,25.45,0.0,20.0,0.16,0.04,11.8,1093,81.9,22521,85.3,90.9,55.3,6,66,2,1,59,26,0.85,4,0.13,67,40,47,15,41,16,25,50,1737,314,1060,612,72,36,13,61.5,23.1,931,1946,8,4,0,21,3,1024,7,31,18,1,6,121,54,44,55.1,2756.0,25800000.0
Micky van de Ven,,24.02,12,11,950.0,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,1.395,68.75,25.45,0.0,33.3,0.19,0.0,11.1,706,91.0,13313,91.7,96.5,62.5,2,50,1,0,51,11,1.04,2,0.19,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,50.0,50.0,599,1388,8,10,1,5,4,629,1,10,8,0,0,61,19,18,51.4,950.0,62000000.0
Mikel Merino,,28.85,25,15,1401.0,6,2,2,0,4.4,1.9,9,61,86,0.39,0.13,0.28,0.12,1.395,68.75,25.45,0.0,37.5,0.77,0.19,10.5,412,77.9,5686,87.0,78.3,53.3,15,33,24,4,61,39,2.51,4,0.26,38,22,29,14,17,5,12,13,709,35,127,300,291,72,17,41.2,35.3,349,638,9,12,4,21,22,460,86,35,20,7,12,76,57,52,52.3,1401.0,39700000.0
Mikkel Damsgaard,,24.82,33,29,2495.0,2,10,2,0,2.6,7.3,62,204,115,0.07,0.36,0.09,0.26,1.395,68.75,25.45,0.0,22.6,0.25,0.06,17.1,954,72.8,16253,85.4,73.5,52.8,55,144,62,15,204,109,3.93,21,0.76,73,40,69,42,33,2,31,25,1619,33,293,734,614,70,89,51.7,36.0,924,2615,62,42,9,53,42,1075,115,15,26,6,118,152,12,25,32.4,2495.0,28600000.0
Milos Kerkez,,21.47,34,34,2987.0,2,5,4,0,0.5,3.4,93,143,163,0.06,0.15,0.02,0.1,1.395,68.75,25.45,0.0,29.4,0.15,0.12,20.4,1175,75.2,18321,89.1,77.9,36.5,31,79,35,22,143,75,2.26,9,0.27,49,26,36,14,36,11,25,40,1915,104,494,805,639,57,44,45.5,31.8,952,3268,93,65,15,43,18,1032,163,27,44,1,120,153,25,46,35.2,2987.0,61600000.0
Mohamed Salah,,32.87,34,34,3011.0,28,18,1,0,23.9,12.8,142,129,425,0.84,0.54,0.71,0.38,1.395,68.75,25.45,0.0,42.3,1.4,0.17,14.8,811,71.3,12057,83.7,69.9,58.9,80,49,82,13,129,153,4.57,26,0.78,20,11,16,9,11,0,11,7,1526,10,88,464,993,320,123,44.7,52.0,1046,3303,142,54,113,105,62,1276,425,22,33,16,67,93,9,12,42.9,3011.0,18300000.0
Mohammed Kudus,,24.74,28,28,2331.0,4,2,1,1,6.5,2.3,88,74,194,0.15,0.08,0.25,0.09,1.395,68.75,25.45,0.0,29.9,0.77,0.06,15.6,640,83.6,10429,90.0,89.3,68.5,27,42,26,12,74,95,3.67,6,0.23,33,19,27,17,23,1,22,4,1141,12,158,466,558,115,188,44.7,46.3,748,2317,88,56,39,66,88,888,194,35,58,18,70,125,10,35,22.2,2331.0,63000000.0
Moisés Caicedo,,23.48,34,34,2991.0,1,2,10,0,0.8,2.9,38,194,33,0.03,0.06,0.02,0.09,1.395,68.75,25.45,0.0,16.7,0.09,0.06,25.1,1792,89.7,31004,92.2,92.5,77.8,28,215,31,2,194,90,2.71,7,0.21,100,63,80,30,44,9,35,47,2340,85,502,1442,421,12,54,42.6,35.2,1308,2919,38,28,2,35,23,1642,33,61,54,0,8,197,30,15,66.7,2991.0,82800000.0
Morgan Gibbs-White,,25.25,29,29,2377.0,5,7,9,1,4.6,4.4,63,139,115,0.19,0.27,0.18,0.17,1.395,68.75,25.45,0.0,34.6,0.68,0.1,17.0,834,78.5,12823,84.9,82.0,58.8,44,110,35,7,139,98,3.71,17,0.64,39,18,30,15,14,4,10,17,1382,32,166,695,543,83,73,39.7,46.6,778,2303,63,46,12,66,37,1037,115,32,35,7,36,113,36,46,43.9,2377.0,61700000.0
Morgan Rogers,,22.76,33,33,2763.0,8,8,9,0,6.1,6.9,102,113,171,0.26,0.26,0.2,0.22,1.395,68.75,25.45,0.0,36.5,0.62,0.15,15.8,606,73.9,8871,81.4,76.6,80.0,45,69,51,2,113,95,3.1,13,0.42,35,18,38,20,24,7,17,5,1229,36,182,535,537,133,145,41.4,45.5,718,2908,102,62,32,102,67,866,171,46,47,2,21,103,11,43,20.4,2763.0,79600000.0
Murillo,,22.82,32,32,2838.0,1,0,5,0,1.2,1.1,19,100,4,0.03,0.0,0.04,0.03,1.395,68.75,25.45,0.0,20.0,0.13,0.05,24.3,976,77.8,19356,90.9,87.0,47.6,12,110,11,1,100,35,1.11,2,0.06,49,33,44,18,66,43,23,29,1665,375,853,737,89,17,33,78.8,21.2,706,2162,19,24,1,18,9,839,4,25,4,0,12,124,36,19,65.5,2838.0,66000000.0
Myles Lewis-Skelly,,18.59,19,12,1078.0,1,0,2,2,0.1,0.3,29,57,32,0.08,0.0,0.01,0.03,1.395,68.75,25.45,0.0,50.0,0.08,0.5,14.3,549,90.7,8096,95.7,90.8,63.2,6,54,8,1,57,21,1.75,0,0.0,21,14,9,0,1,0,1,6,705,18,124,386,208,14,26,46.2,34.6,402,1332,29,21,5,9,8,482,32,10,35,0,8,42,7,7,50.0,1078.0,35700000.0
Nathan Collins,,23.99,33,33,2970.0,2,2,5,0,2.5,1.5,25,112,18,0.06,0.06,0.08,0.05,1.395,68.75,25.45,0.0,37.5,0.18,0.13,10.8,1501,85.8,28532,88.0,92.4,59.7,9,94,7,2,112,28,0.85,7,0.21,35,20,31,10,68,48,20,31,2139,341,1124,867,158,63,12,50.0,41.7,1125,3556,25,9,0,15,8,1303,18,24,25,6,7,145,103,57,64.4,2970.0,30700000.0
Neco Williams,,24.04,30,23,2144.0,1,2,5,0,2.2,1.4,54,70,81,0.04,0.08,0.09,0.06,1.395,68.75,25.45,0.0,18.8,0.25,0.03,19.7,647,75.2,9805,89.4,72.1,40.5,14,50,17,7,70,40,1.68,5,0.21,73,44,68,25,37,8,29,24,1231,136,450,437,359,35,39,38.5,43.6,492,1685,54,26,14,23,15,570,81,20,34,1,40,84,34,25,57.6,2144.0,22600000.0
Nick Pope,,33.02,24,24,2160.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.33,70.5,29.2,50.0,30.4,0.0,0.08,16.2,484,72.5,12485,99.0,98.4,42.6,1,2,0,0,1,5,0.21,0,0.0,0,0,0,0,1,0,1,1,747,596,737,10,0,0,0,45.1,43.8,388,1475,0,0,0,0,1,263,0,2,5,0,0,19,11,1,91.7,2160.0,11500000.0
Nicolas Jackson,,23.85,28,26,2114.0,10,5,7,0,12.2,4.3,46,37,125,0.43,0.21,0.52,0.18,1.395,68.75,25.45,0.0,43.2,1.36,0.14,12.7,291,76.2,3909,81.9,78.0,64.3,28,22,10,1,37,68,2.9,10,0.43,19,11,8,5,13,2,11,3,658,19,46,272,349,137,59,30.5,50.8,401,1293,46,24,30,65,39,490,125,32,29,19,3,44,18,35,34.0,2114.0,66900000.00000001
Nicolás Domínguez,,26.83,29,19,1624.0,0,1,8,0,1.4,1.3,12,63,24,0.0,0.06,0.08,0.07,1.395,68.75,25.45,0.0,38.9,0.39,0.0,19.0,686,87.1,9888,91.5,89.8,60.0,13,68,8,0,63,29,1.61,0,0.0,75,40,63,34,34,11,23,26,1020,68,260,533,236,24,8,37.5,37.5,378,750,12,10,2,18,9,554,24,29,15,1,2,99,20,19,51.3,1624.0,18800000.0
Nikola Milenković,,27.54,32,32,2880.0,4,2,4,0,3.6,0.8,3,47,6,0.12,0.06,0.11,0.03,1.395,68.75,25.45,0.0,26.9,0.22,0.15,12.1,705,80.8,14175,86.9,87.1,60.4,7,47,2,0,47,18,0.56,3,0.09,42,26,27,6,38,22,16,24,1189,225,650,463,80,58,1,100.0,0.0,454,939,3,3,2,2,2,603,6,16,4,1,0,71,91,36,71.7,2880.0,40600000.0
Noni Madueke,,23.13,28,23,1723.0,7,3,3,0,8.2,3.9,133,63,208,0.37,0.16,0.43,0.2,1.395,68.75,25.45,0.0,41.1,1.57,0.1,14.6,452,77.5,6706,86.5,76.1,56.4,28,12,33,8,63,72,3.76,8,0.42,22,15,33,20,14,0,14,8,837,18,83,237,531,163,84,42.9,46.4,562,2970,133,43,80,41,24,646,208,20,24,4,58,67,10,15,40.0,1723.0,52300000.0
Noussair Mazraoui,,27.45,34,31,2639.0,0,1,2,0,0.7,1.3,37,102,51,0.0,0.03,0.02,0.05,1.395,68.75,25.45,0.0,23.1,0.1,0.0,20.6,1409,85.5,21053,91.3,89.1,54.3,18,118,18,5,102,50,1.71,1,0.03,102,60,85,34,33,8,25,34,1976,158,779,903,318,27,47,55.3,36.2,1086,2680,37,29,3,23,16,1190,51,37,22,3,20,141,47,28,62.7,2639.0,45300000.0
Nélson Semedo,,31.45,30,29,2576.0,0,4,7,0,0.8,2.7,61,70,107,0.0,0.14,0.03,0.09,1.395,68.75,25.45,0.0,40.0,0.21,0.0,24.2,962,80.1,14666,91.1,82.8,47.0,21,63,25,11,70,51,1.78,6,0.21,55,31,49,21,27,10,17,22,1522,113,433,695,412,23,62,45.2,41.9,780,2309,61,36,9,37,19,873,107,43,27,3,57,116,27,40,40.3,2576.0,8300000.000000001
Ola Aina,,28.55,30,30,2569.0,2,1,2,0,0.6,0.7,54,91,52,0.07,0.04,0.02,0.03,1.395,68.75,25.45,0.0,22.2,0.07,0.22,24.8,839,73.3,12948,88.1,72.8,36.1,11,78,15,7,91,50,1.75,3,0.11,53,40,58,24,32,12,20,30,1462,138,539,610,338,21,64,45.3,37.5,629,2328,54,35,10,39,21,691,52,21,32,2,42,160,12,18,40.0,2569.0,19300000.0
Oliver Skipp,,24.61,20,7,907.0,0,0,7,0,0.2,0.3,15,29,18,0.0,0.0,0.02,0.03,1.395,68.75,25.45,0.0,25.0,0.1,0.0,21.0,352,84.6,5339,87.8,93.1,62.1,9,28,4,0,29,14,1.39,0,0.0,17,4,14,6,15,3,12,9,503,23,111,316,80,7,11,54.5,45.5,295,576,15,7,3,11,5,350,18,17,13,0,4,37,10,5,66.7,907.0,17100000.0
Ollie Watkins,,29.33,34,27,2263.0,15,7,2,0,14.5,2.9,50,28,143,0.6,0.28,0.58,0.12,1.395,68.75,25.45,0.0,42.1,1.27,0.17,12.2,277,73.7,3489,78.8,81.1,75.0,22,11,11,0,28,50,1.99,11,0.44,9,6,11,8,11,3,8,7,620,17,46,223,360,153,38,23.7,65.8,363,1022,50,21,35,51,44,486,143,27,29,12,7,39,46,61,43.0,2263.0,63200000.0
Omar Marmoush,,26.22,12,11,916.0,6,0,0,0,4.7,1.7,20,26,63,0.59,0.0,0.46,0.17,1.395,68.75,25.45,0.0,44.4,1.57,0.17,18.1,192,78.4,2647,84.6,79.7,50.0,13,8,22,4,26,33,3.24,1,0.1,11,6,14,7,14,1,13,5,389,2,27,114,253,52,35,40.0,48.6,249,730,20,14,11,34,13,282,63,13,17,9,25,29,5,8,38.5,916.0,79100000.0
Omari Hutchinson,,21.49,27,26,2223.0,3,2,5,0,2.3,2.5,71,69,131,0.12,0.08,0.09,0.1,1.395,68.75,25.45,0.0,44.4,0.65,0.08,20.8,581,78.3,9129,88.2,84.6,52.7,23,43,20,9,69,64,2.59,6,0.24,30,11,45,32,24,1,23,10,1061,12,168,450,463,74,114,39.5,47.4,645,2288,71,35,30,68,55,748,131,28,36,4,56,90,6,22,21.4,2223.0,27600000.0
Orel Mangala,,27.11,19,14,1261.0,1,0,2,0,1.1,0.6,6,34,19,0.07,0.0,0.08,0.05,1.395,68.75,25.45,0.0,37.5,0.43,0.06,22.1,437,89.2,6998,90.5,94.9,76.7,8,50,8,1,34,24,1.72,1,0.07,16,8,8,3,8,3,5,21,621,22,133,335,157,13,24,58.3,37.5,298,576,6,6,3,12,12,406,19,24,17,2,6,49,6,8,42.9,1261.0,24400000.0
Pape Matar Sarr,,22.62,32,18,1636.0,3,2,6,0,3.3,1.5,29,79,50,0.17,0.11,0.18,0.08,1.395,68.75,25.45,0.0,41.9,0.72,0.1,21.7,824,87.3,12681,91.4,90.4,72.9,14,82,10,2,79,40,2.2,6,0.33,42,30,23,12,23,9,14,24,1134,35,238,635,279,26,25,44.0,48.0,724,1760,29,31,5,26,21,812,50,28,31,2,14,105,24,36,40.0,1636.0,50800000.0
Pau Torres,,28.28,20,20,1729.0,0,0,1,0,0.5,0.1,33,74,4,0.0,0.0,0.03,0.0,1.395,68.75,25.45,0.0,25.0,0.1,0.0,11.7,1032,88.3,17916,94.7,93.1,51.2,2,93,7,0,74,12,0.62,2,0.1,20,14,15,6,14,10,4,9,1293,209,626,595,78,15,17,88.2,11.8,803,3503,33,20,0,3,3,923,4,6,7,0,1,53,16,22,42.1,1729.0,46100000.0
Paul Onuachu,,30.92,23,11,984.0,4,1,4,0,3.3,0.5,7,12,39,0.37,0.09,0.3,0.04,1.395,68.75,25.45,0.0,43.8,1.28,0.13,10.4,151,61.4,2135,63.8,61.3,63.2,8,13,2,0,12,9,0.82,1,0.09,7,2,7,4,6,1,5,1,410,15,41,220,152,60,25,28.0,56.0,198,237,7,5,2,46,33,336,39,26,15,9,0,17,88,54,62.0,984.0,12700000.0
Pedro Neto,,25.14,31,20,1923.0,4,4,8,0,2.8,5.4,110,56,220,0.19,0.19,0.13,0.25,1.395,68.75,25.45,0.0,31.4,0.75,0.08,18.9,618,78.5,10072,92.8,81.3,47.8,42,28,33,21,56,83,3.88,7,0.33,21,9,18,11,12,2,10,8,1008,11,87,295,642,102,91,31.9,44.0,655,2841,110,51,38,39,24,734,220,18,29,3,131,70,10,26,27.8,1923.0,60400000.0
Pedro Porro,,25.62,31,26,2463.0,2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,0.15,1.395,68.75,25.45,0.0,21.6,0.29,0.05,23.1,1324,73.5,23083,87.5,79.3,44.2,54,120,55,26,147,104,3.8,8,0.29,63,46,73,31,44,17,27,34,2131,124,623,772,749,30,39,33.3,61.5,1132,2677,63,40,5,23,17,1229,106,24,30,1,191,148,11,22,33.3,2463.0,55900000.0
Pervis Estupiñán,,27.27,27,23,2132.0,1,1,5,0,0.9,2.1,55,115,104,0.04,0.04,0.04,0.09,1.395,68.75,25.45,0.0,31.8,0.3,0.05,25.1,1205,83.3,18325,93.5,83.2,50.0,24,94,31,18,115,50,2.11,4,0.17,54,36,44,15,16,2,14,30,1702,68,424,843,452,29,29,51.7,44.8,914,2355,55,53,9,30,25,1035,104,33,16,3,111,135,41,26,61.2,2132.0,35400000.0
Phil Foden,,24.92,25,19,1686.0,7,2,2,0,5.1,4.7,47,95,119,0.37,0.11,0.27,0.25,1.395,68.75,25.45,0.0,30.8,0.85,0.13,18.5,742,84.0,11563,90.6,89.2,59.6,42,40,35,5,95,84,4.48,9,0.48,12,5,17,10,12,1,11,9,1074,13,81,374,628,79,39,33.3,53.8,676,1674,47,30,15,35,30,840,119,5,31,3,73,58,3,8,27.3,1686.0,99800000.0
Radu Drăgușin,,23.23,16,14,1252.0,0,0,1,0,0.1,0.4,7,37,2,0.0,0.0,0.01,0.03,1.395,68.75,25.45,0.0,20.0,0.07,0.0,12.7,716,85.2,13638,91.0,93.0,43.9,4,52,2,1,37,8,0.58,1,0.07,10,6,12,6,22,16,6,15,961,148,510,430,30,12,2,0.0,0.0,623,1666,7,3,0,8,2,669,2,6,10,0,1,48,33,22,60.0,1252.0,28400000.0
Rasmus Højlund,,22.23,29,20,1744.0,4,0,2,0,3.8,1.3,26,16,83,0.21,0.0,0.2,0.06,1.395,68.75,25.45,0.0,40.0,0.52,0.16,12.8,224,76.7,2426,82.9,71.7,80.0,14,12,5,1,16,30,1.55,1,0.05,3,1,4,4,5,0,5,1,447,6,31,223,201,58,29,31.0,62.1,275,625,26,13,16,57,27,352,83,15,26,11,6,30,23,82,21.9,1744.0,60000000.0
Rayan Aït-Nouri,,23.89,33,33,2775.0,4,7,7,1,2.4,4.7,74,96,156,0.13,0.23,0.08,0.15,1.395,68.75,25.45,0.0,25.0,0.26,0.13,15.1,1280,83.8,17642,93.3,86.4,41.1,36,66,27,9,96,75,2.43,12,0.39,81,51,66,25,40,6,34,22,1898,85,519,810,592,82,112,48.2,39.3,980,2762,74,53,23,40,41,1155,156,28,38,5,83,131,20,28,41.7,2775.0,44000000.0
Raúl Jiménez,,33.98,34,26,2134.0,10,3,4,0,11.2,2.9,32,55,117,0.42,0.13,0.47,0.12,1.395,68.75,25.45,0.0,32.5,1.14,0.08,14.3,409,71.4,6193,81.2,74.5,61.2,17,34,10,3,55,54,2.28,6,0.25,28,18,18,12,19,5,14,9,884,30,106,377,414,148,45,40.0,53.3,496,982,32,20,17,61,41,652,117,35,36,14,20,70,72,83,46.5,2134.0,5200000.0
Riccardo Calafiori,,22.94,17,11,925.0,2,1,4,0,0.9,0.3,21,54,29,0.19,0.1,0.08,0.03,1.395,68.75,25.45,0.0,60.0,0.58,0.2,14.1,449,85.4,6549,91.6,85.7,67.9,6,40,9,1,54,13,1.26,2,0.19,26,18,29,11,12,6,6,9,628,30,161,249,222,29,13,69.2,23.1,291,839,21,12,3,11,5,377,29,16,6,3,11,30,22,13,62.9,925.0,49300000.0
Rico Lewis,,20.43,26,20,1810.0,1,2,5,1,1.4,0.3,36,103,68,0.05,0.1,0.07,0.02,1.395,68.75,25.45,0.0,20.0,0.1,0.1,15.8,1139,92.0,16444,94.8,94.2,68.3,7,92,13,0,103,31,1.54,3,0.15,29,19,21,8,27,7,20,13,1399,51,286,702,426,42,21,42.9,52.4,815,2032,36,38,8,19,19,1002,68,10,33,0,3,93,5,13,27.8,1810.0,62700000.0
Robert Sánchez,,27.44,28,28,2520.0,0,0,5,0,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,1.11,76.7,28.6,20.0,30.4,0.0,0.08,16.2,790,72.1,18908,99.5,96.3,38.9,2,24,1,0,1,7,0.25,2,0.07,0,0,1,1,0,0,0,2,1163,856,1152,11,0,0,0,45.1,43.8,777,2394,0,0,0,0,0,724,0,2,4,0,0,41,8,0,100.0,2520.0,24800000.0
Rodrigo Bentancur,,27.84,23,19,1518.0,2,0,7,0,1.3,0.4,26,99,34,0.12,0.0,0.08,0.03,1.395,68.75,25.45,0.0,22.7,0.3,0.09,17.4,916,88.1,14862,91.1,92.7,75.4,10,107,12,2,99,45,2.67,3,0.18,38,20,39,20,24,8,16,36,1252,70,299,747,215,24,18,44.4,44.4,739,1446,26,23,5,18,19,826,34,31,10,1,4,111,35,27,56.5,1518.0,31400000.0
Rodrigo Muniz,,23.98,31,8,964.0,8,1,1,0,5.8,0.7,6,27,31,0.75,0.09,0.54,0.07,1.395,68.75,25.45,0.0,48.7,1.77,0.21,12.0,92,64.8,1540,67.6,68.9,84.6,7,13,3,0,27,17,1.59,2,0.19,10,5,4,0,9,2,7,5,311,14,27,161,127,55,18,33.3,50.0,157,187,6,4,3,47,24,237,31,11,31,3,1,14,67,63,51.5,964.0,8400000.0
Ryan Christie,,30.18,29,27,2117.0,2,3,9,0,1.8,3.5,34,137,44,0.09,0.13,0.08,0.15,1.395,68.75,25.45,0.0,36.4,0.51,0.06,19.6,837,79.3,14882,88.2,87.9,48.8,41,118,33,5,137,85,3.62,9,0.38,54,33,64,37,44,11,33,30,1376,74,256,773,372,46,48,47.9,45.8,726,1773,34,40,8,44,25,777,44,43,31,1,48,182,20,28,41.7,2117.0,16200000.0
Ryan Gravenberch,,22.95,34,34,2921.0,0,4,5,0,1.0,2.9,65,168,54,0.0,0.12,0.03,0.09,1.395,68.75,25.45,0.0,27.8,0.15,0.0,24.7,1595,88.9,23774,92.5,91.7,60.8,25,140,32,1,168,65,2.0,6,0.18,65,34,51,21,34,10,24,57,2176,104,446,1274,485,23,75,48.0,37.3,1286,3408,65,71,9,48,21,1548,54,42,46,0,6,182,26,14,65.0,2921.0,85500000.0
Ryan Manning,,28.87,22,17,1369.0,0,1,2,0,0.3,3.0,13,32,70,0.0,0.07,0.02,0.2,1.395,68.75,25.45,0.0,14.3,0.07,0.0,20.8,572,78.1,9545,92.4,81.3,45.0,30,26,11,8,32,45,2.96,3,0.2,28,17,26,12,19,11,8,16,884,67,237,360,296,21,33,33.3,42.4,446,887,13,13,4,17,5,528,70,19,30,0,77,62,13,5,72.2,1369.0,3800000.0
Ryan Yates,,27.43,30,17,1775.0,2,1,9,0,2.3,1.1,17,45,12,0.1,0.05,0.11,0.06,1.395,68.75,25.45,0.0,29.0,0.46,0.06,18.9,559,82.1,8140,88.8,85.8,55.3,17,44,4,0,45,35,1.77,3,0.15,40,21,36,19,34,8,26,25,948,74,253,463,242,38,18,50.0,27.8,380,850,17,18,1,23,18,490,12,49,46,6,3,89,43,30,58.9,1775.0,17500000.0
Rúben Dias,,27.96,23,21,1911.0,0,0,4,0,1.4,0.3,34,120,6,0.0,0.0,0.07,0.01,1.395,68.75,25.45,0.0,29.4,0.24,0.0,18.4,1852,93.3,31998,96.9,96.2,66.4,5,178,5,0,120,22,1.04,1,0.05,15,9,9,3,17,14,3,18,2133,188,711,1175,251,22,3,66.7,33.3,1524,5097,34,53,1,6,1,1738,6,11,8,0,3,65,30,29,50.8,1911.0,74500000.0
Sam Morsy,,33.63,29,27,2419.0,1,1,9,0,0.3,0.8,14,103,9,0.04,0.04,0.01,0.03,1.395,68.75,25.45,0.0,22.2,0.07,0.11,26.3,1083,86.3,17344,93.3,91.5,57.5,18,127,13,2,103,39,1.45,2,0.07,60,34,56,31,32,13,19,28,1468,85,439,834,209,4,20,60.0,30.0,750,1715,14,20,2,15,10,982,9,44,23,0,12,138,16,23,41.0,2419.0,1300000.0
Sammie Szmodics,,29.59,19,13,979.0,4,0,2,0,3.4,0.2,16,18,46,0.37,0.0,0.31,0.02,1.395,68.75,25.45,0.0,57.1,1.1,0.19,14.0,144,74.2,2402,87.0,84.4,51.7,4,10,4,1,18,9,0.83,0,0.0,15,9,23,17,10,2,8,6,309,17,80,119,116,33,12,33.3,50.0,174,399,16,8,7,24,17,189,46,9,8,8,13,41,6,11,35.3,979.0,14100000.0
Sander Berge,,27.2,27,23,2017.0,0,0,4,0,0.2,0.6,27,110,8,0.0,0.0,0.01,0.03,1.395,68.75,25.45,0.0,0.0,0.0,0.0,7.6,985,91.3,17541,91.6,94.4,84.0,17,104,4,0,110,41,1.83,2,0.09,48,28,37,12,26,8,18,20,1255,75,345,720,196,13,20,55.0,30.0,734,1794,27,22,2,11,15,809,8,27,8,0,3,116,25,20,55.6,2017.0,27900000.0
Sandro Tonali,,24.97,32,24,2270.0,3,2,5,0,3.6,1.4,33,113,47,0.12,0.08,0.14,0.05,1.395,68.75,25.45,0.0,32.3,0.4,0.1,19.5,1090,83.7,17149,89.8,87.0,61.0,20,87,25,4,113,60,2.38,8,0.32,46,29,43,22,30,10,20,30,1556,60,357,860,365,40,35,54.3,37.1,839,1959,33,33,5,25,23,1076,47,36,40,2,30,162,12,11,52.2,2270.0,52100000.0
Santiago Bueno,,26.47,27,18,1678.0,0,0,2,0,0.4,0.0,1,28,1,0.0,0.0,0.02,0.0,1.395,68.75,25.45,0.0,50.0,0.16,0.0,14.0,730,88.2,13408,92.4,94.0,56.7,0,24,2,0,28,12,0.64,4,0.21,40,21,22,5,35,20,15,15,1008,168,510,480,21,6,4,0.0,100.0,547,1429,1,2,0,2,2,650,1,26,5,0,0,43,34,31,52.3,1678.0,11300000.0
Saša Lukić,,28.71,27,25,2079.0,0,2,12,0,1.0,2.6,37,87,29,0.0,0.09,0.04,0.11,1.395,68.75,25.45,0.0,13.3,0.09,0.0,20.9,991,87.8,16673,92.2,92.3,69.2,23,93,14,5,87,50,2.17,3,0.13,62,36,49,30,17,7,10,25,1340,49,290,766,297,15,17,47.1,29.4,749,2013,37,37,4,20,7,861,29,58,25,0,53,103,18,23,43.9,2079.0,12100000.0
Sepp van den Berg,,23.35,26,24,2136.0,0,0,2,0,1.4,0.2,8,66,27,0.0,0.0,0.06,0.01,1.395,68.75,25.45,0.0,28.6,0.17,0.0,10.9,876,83.9,15011,87.0,88.3,62.9,4,55,3,1,66,20,0.84,2,0.08,35,22,25,9,47,33,14,19,1329,236,673,502,157,40,7,57.1,42.9,583,1446,8,9,0,14,6,742,27,19,5,1,7,79,79,62,56.0,2136.0,26400000.0
Son Heung-min,,32.81,28,23,2004.0,7,9,1,0,7.0,8.2,87,104,259,0.31,0.4,0.31,0.37,1.395,68.75,25.45,0.0,45.3,1.08,0.11,17.0,703,79.0,9833,89.7,80.0,48.0,50,36,51,6,104,116,5.21,15,0.67,17,9,23,18,10,0,10,5,1093,15,110,347,646,117,82,35.4,48.8,732,2334,87,45,40,25,29,837,259,5,28,11,75,81,6,11,35.3,2004.0,28600000.0
Stefan Ortega,,32.47,13,12,1100.0,0,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.47,68.0,25.0,0.0,30.4,0.0,0.08,16.2,373,81.3,8327,97.1,96.9,51.3,0,6,0,0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,492,383,489,3,0,0,0,45.1,43.8,323,864,0,0,0,0,0,309,0,1,2,0,0,8,2,0,100.0,1100.0,5800000.0
